"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES_PRINCIPAIS";"QT_SECOES_AGREGADAS";"QT_SECOES_NAO_INSTALADAS";"QT_TOTAL_SECOES";"QT_COMPARECIMENTO";"QT_ELEITORES_SECOES_NAO_INSTALADAS";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_TOTAL_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOM_CONVR_LEG_VALIDOS";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULOS_TECNICOS";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61115";"AGUAS DE SAO PEDRO";"61115";"AGUAS DE SAO PEDRO";-3;11;"Prefeito";2530;0;0;0;0;2077;0;453;"N";0;0;0;1968;0;0;0;0;0;0;0;0;0;35;0;74;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61107";"GUATAPARA";"61107";"GUATAPARA";-3;13;"Vereador";3401;0;0;0;0;2976;0;425;"N";0;0;0;2653;40;0;0;0;0;0;0;0;0;207;0;76;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61115";"AGUAS DE SAO PEDRO";"61115";"AGUAS DE SAO PEDRO";-3;13;"Vereador";2530;0;0;0;0;2077;0;453;"N";0;0;0;1900;3;0;0;0;0;0;0;0;0;104;0;70;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61123";"DIRCE REIS";"61123";"DIRCE REIS";-3;11;"Prefeito";1588;0;0;0;0;1404;0;184;"N";0;0;0;1353;0;0;0;0;0;0;0;0;0;16;0;35;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61131";"AGUDOS";"61131";"AGUDOS";-3;11;"Prefeito";20817;0;0;0;0;17980;0;2837;"N";0;0;0;16268;0;0;0;0;0;0;0;0;0;399;0;1313;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61123";"DIRCE REIS";"61123";"DIRCE REIS";-3;13;"Vereador";1588;0;0;0;0;1404;0;184;"N";0;0;0;1252;2;0;0;0;0;0;0;0;0;99;0;51;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61140";"ESPIRITO SANTO DO TURVO";"61140";"ESPIRITO SANTO DO TURVO";-3;11;"Prefeito";2374;0;0;0;0;2048;0;326;"N";0;0;0;1974;0;0;0;0;0;0;0;0;0;24;0;50;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61131";"AGUDOS";"61131";"AGUDOS";-3;13;"Vereador";20817;0;0;0;0;17980;0;2837;"N";0;0;0;15337;71;0;0;0;0;0;0;0;0;1632;0;940;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61140";"ESPIRITO SANTO DO TURVO";"61140";"ESPIRITO SANTO DO TURVO";-3;13;"Vereador";2374;0;0;0;0;2048;0;326;"N";0;0;0;1838;4;0;0;0;0;0;0;0;0;139;0;67;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61158";"ALFREDO MARCONDES";"61158";"ALFREDO MARCONDES";-3;11;"Prefeito";3412;0;0;0;0;3088;0;324;"N";0;0;0;2998;0;0;0;0;0;0;0;0;0;40;0;50;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61166";"ROSANA";"61166";"ROSANA";-3;11;"Prefeito";14215;0;0;0;0;10912;0;3303;"N";0;0;0;10520;0;0;0;0;0;0;0;0;0;117;0;275;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61158";"ALFREDO MARCONDES";"61158";"ALFREDO MARCONDES";-3;13;"Vereador";3412;0;0;0;0;3088;0;324;"N";0;0;0;2783;0;0;0;0;0;0;0;0;0;184;0;121;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61174";"ALTAIR";"61174";"ALTAIR";-3;11;"Prefeito";2614;0;0;0;0;2263;0;351;"N";0;0;0;2171;0;0;0;0;0;0;0;0;0;40;0;52;0;0;"15:16:04";"27/10/2005"
"12/02/2026";"18:27:56";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61166";"ROSANA";"61166";"ROSANA";-3;13;"Vereador";14215;0;0;0;0;10912;0;3303;"N";0;0;0;9835;172;0;0;0;0;0;0;0;0;631;0;274;0;0;"15:16:04";"27/10/2005"
