"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOM_CONVR_LEG_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS"
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"68870";"PIRACUNUNGA";"68870";"PIRACUNUNGA";-3;11;"Prefeito";"#NE";20;"PSC";"Partido Social Cristão";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"62456";"BORACEIA";"62456";"BORACEIA";-3;11;"Prefeito";"#NE";20;"PSC";"Partido Social Cristão";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"70475";"SANTANA DE PARNAIBA";"70475";"SANTANA DE PARNAIBA";-3;11;"Prefeito";"#NE";23;"PPS";"Partido Popular Socialista";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"65013";"IGARACU DO TIETE";"65013";"IGARACU DO TIETE";-3;11;"Prefeito";"#NE";12;"PDT";"Partido Democrático Trabalhista";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"70874";"SAO JOAO DO PAU D ALHO";"70874";"SAO JOAO DO PAU D ALHO";-3;11;"Prefeito";"#NE";21;"PCB";"Partido Comunista Brasileiro";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"64211";"FLORIDA PAULISTA";"64211";"FLORIDA PAULISTA";-3;11;"Prefeito";"#NE";18;"PST";"Partido Social Trabalhista";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"70416";"SANTA MARIA DA SERRA";"70416";"SANTA MARIA DA SERRA";-3;13;"Vereador";"#NE";33;"PMN";"Partido da Mobilização Nacional";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"62316";"BIRITIBA MIRIM";"62316";"BIRITIBA MIRIM";-3;11;"Prefeito";"#NE";28;"PRTB";"Partido Renovador Trabalhista Brasileiro";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"61182";"EMBAUBA";"61182";"EMBAUBA";-3;11;"Prefeito";"#NE";26;"PAN";"Partido dos Aposentados da Nação";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"67733";"NUPORANGA";"67733";"NUPORANGA";-3;11;"Prefeito";"#NE";29;"PCO";"Partido da Causa Operária";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"64556";"GUARA";"64556";"GUARA";-3;11;"Prefeito";"#NE";25;"PFL";"Partido da Frente Liberal";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"63975";"ELDORADO";"63975";"ELDORADO";-3;11;"Prefeito";"#NE";12;"PDT";"Partido Democrático Trabalhista";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"65439";"ITANHAEM";"65439";"ITANHAEM";-3;11;"Prefeito";"#NE";20;"PSC";"Partido Social Cristão";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"70491";"SANTA RITA D OESTE";"70491";"SANTA RITA D OESTE";-3;11;"Prefeito";"#NE";23;"PPS";"Partido Popular Socialista";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
"12/02/2026";"18:23:34";1996;2;"Eleição Ordinária";1;1996001;"Eleições Municipais 1996";"03/10/1996";"M";"SP";"70050";"SALTO";"70050";"SALTO";-3;11;"Prefeito";"#NE";26;"PAN";"Partido dos Aposentados da Nação";-3;"#NE";"#NE";"#NE";-3;"#NE";"#NE";"N";0;0;0;0;0;0;0;0
